Date,ONG,PSG,OG,CKB,PAXG,STRAX,HIVE,LSK,KMD,YFI
2022-03-18 19:00:00,484.8882103965683,337.05920280914506,397.57576573136095,205.35368701843797,404.9057640354637,296.72849415520454,144.70831975658706,137.7231379523366,529.42668585226,186.7695201392224
2022-03-18 20:00:00,484.8882103965683,335.70521153499334,395.9786750329673,205.35368701843797,403.2792282020298,296.72849415520454,144.70831975658706,137.7231379523366,529.42668585226,187.52281288493143
2022-03-18 21:00:00,484.8882103965683,334.60509362474505,394.6810388405225,205.35368701843797,401.9576678373646,296.72849415520454,144.70831975658706,137.7231379523366,529.42668585226,188.1393522292673
2022-03-18 22:00:00,473.0441608458009,342.9829146335589,404.563037536833,205.35368701843797,412.0218583067373,296.72849415520454,144.70831975658706,137.7231379523366,529.42668585226,183.5437944027937
2022-03-18 23:00:00,475.0366659831593,341.54429890477275,402.86612866978976,205.35368701843797,410.2936639837137,296.72849415520454,144.70831975658706,137.7231379523366,529.42668585226,184.31689760022863
2022-03-19 00:00:00,471.9960570920805,343.74453472526926,405.4614010546794,205.35368701843797,412.93678471304383,296.72849415520454,144.70831975658706,137.7231379523366,529.42668585226,183.13712425271365
2022-03-19 01:00:00,470.1441843815672,345.098525999421,407.05849175307304,205.35368701843797,414.56332054647777,296.72849415520454,144.70831975658706,137.7231379523366,529.42668585226,182.41858722769075
2022-03-19 02:00:00,472.69427611144744,343.2367879974624,404.86249204278187,205.35368701843797,412.3268337755061,295.1277028674619,143.92764711444758,136.98014897858687,526.5705340404039,183.40803715841292
2022-03-19 03:00:00,464.4496085048525,349.3297487311451,412.0494001855531,205.35368701843797,419.6462450259589,300.3666561728014,146.48257576144957,139.41174925631324,535.9179399701152,180.20905976611505
2022-03-19 04:00:00,471.06830071450395,344.4215303623451,406.2599464038762,205.35368701843797,413.7500526297608,296.146388232389,144.42443879580904,137.45296014370032,528.3880851934033,182.77714956130782
2022-03-19 05:00:00,473.9797240810954,342.3059189964831,403.7644921876362,205.35368701843797,411.2085903900203,294.3273072235906,143.5373107933778,136.60865449171203,525.1424581344758,183.90679819889314
